innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,139.57,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,153.20,oltp_read_write,64,5000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,157.43,oltp_read_write,64,5000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,152.02,oltp_read_write,64,5000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,156.09,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,154.56,oltp_read_write,64,5000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,156.80,oltp_read_write,64,5000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,169.02,oltp_read_write,64,5000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,169.13,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,179.07,oltp_read_write,64,5000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,176.52,oltp_read_write,64,5000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,168.03,oltp_read_write,64,5000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,178.74,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,190.27,oltp_read_write,64,5000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,186.29,oltp_read_write,64,5000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,183.92,oltp_read_write,64,5000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,197.49,oltp_read_write,64,5000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,186.58,oltp_read_write,64,5000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,201.34,oltp_read_write,64,5000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,193.86,oltp_read_write,64,5000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,193.09,oltp_read_write,64,5000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,196.14,oltp_read_write,64,5000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,196.79,oltp_read_write,64,5000000,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,203.09,oltp_read_write,64,5000000,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,203.96,oltp_read_write,64,5000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,205.86,oltp_read_write,64,5000000,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,211.53,oltp_read_write,64,5000000,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,199.35,oltp_read_write,64,5000000,4
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,205.23,oltp_read_write,64,5000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,211.28,oltp_read_write,64,5000000,4
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,204.20,oltp_read_write,64,5000000,4
12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,216.14,oltp_read_write,64,5000000,4
1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,211.05,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,218.63,oltp_read_write,64,5000000,4
1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000,214.25,oltp_read_write,64,5000000,4
