innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload,num_table,table_size,num_client
1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,134.9,oltp_read_write,64,5000000,4
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,156.18,oltp_read_write,64,5000000,4
1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,151.28,oltp_read_write,64,5000000,4
1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,141.31,oltp_read_write,64,5000000,4
1GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,156.46,oltp_read_write,64,5000000,4
2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,152.89,oltp_read_write,64,5000000,4
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,156.87,oltp_read_write,64,5000000,4
2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,156.99,oltp_read_write,64,5000000,4
2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,160.01,oltp_read_write,64,5000000,4
2GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,150.08,oltp_read_write,64,5000000,4
3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,165.96,oltp_read_write,64,5000000,4
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,153.87,oltp_read_write,64,5000000,4
3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,166.26,oltp_read_write,64,5000000,4
3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,173.96,oltp_read_write,64,5000000,4
3GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,173.87,oltp_read_write,64,5000000,4
4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,176.45,oltp_read_write,64,5000000,4
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,181.64,oltp_read_write,64,5000000,4
4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,186.69,oltp_read_write,64,5000000,4
4GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,190.74,oltp_read_write,64,5000000,4
4GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,195.91,oltp_read_write,64,5000000,4
6GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,183.39,oltp_read_write,64,5000000,4
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,198.16,oltp_read_write,64,5000000,4
6GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,187.67,oltp_read_write,64,5000000,4
6GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,196.79,oltp_read_write,64,5000000,4
6GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,196.38,oltp_read_write,64,5000000,4
8GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,202.6,oltp_read_write,64,5000000,4
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,201.91,oltp_read_write,64,5000000,4
8GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,202.64,oltp_read_write,64,5000000,4
8GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,193.2,oltp_read_write,64,5000000,4
8GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,195.27,oltp_read_write,64,5000000,4
9GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,215.11,oltp_read_write,64,5000000,4
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,198.1,oltp_read_write,64,5000000,4
9GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,209.22,oltp_read_write,64,5000000,4
9GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,205.6,oltp_read_write,64,5000000,4
9GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,206.38,oltp_read_write,64,5000000,4
12GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,197.3,oltp_read_write,64,5000000,4
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,207.34,oltp_read_write,64,5000000,4
12GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,202.7,oltp_read_write,64,5000000,4
12GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,211.53,oltp_read_write,64,5000000,4
12GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,206.58,oltp_read_write,64,5000000,4
16GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,220.58,oltp_read_write,64,5000000,4
16GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.85,oltp_read_write,64,5000000,4
16GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,210.86,oltp_read_write,64,5000000,4
16GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,210.58,oltp_read_write,64,5000000,4
16GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,206.32,oltp_read_write,64,5000000,4
18GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,201.95,oltp_read_write,64,5000000,4
18GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,206.98,oltp_read_write,64,5000000,4
18GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,205.26,oltp_read_write,64,5000000,4
18GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,213.95,oltp_read_write,64,5000000,4
18GB,15,2,1,ON,1,1024,1,25,100,48MB,4000,213.75,oltp_read_write,64,5000000,4
