id,tps,Average CPU Usage (Idle Mode),Average CPU Usage (IO Wait Mode),Average CPU Usage (IRQ Mode),Average CPU Usage (Nice Mode),Average CPU Usage (SoftIRQ Mode),Average CPU Usage (Steal Mode),Average CPU Usage (System Mode),Average CPU Usage (User Mode),Average Memory Usage Percentage,Total Memory Usage,Total Memory,Average Memory Swap In,Average Memory Swap Out,Average Network Traffic Received (Eth0),Average Network Traffic Received (LO Interface),Average Network Retransmit Rate,Average Network Traffic Sent (Eth0),Average Network Traffic Sent (LO Interface),Average Swap Usage Percentage,Average Disk IOPS (Read),"Average Disk IOPS (Read, VDA)","Average Disk IOPS (Write, Sr0)",Average Disk IOPS (Write),Average Disk Busy (Sr0),Average Disk Busy (VDA),Average Pages Swap In/Out (60s Rate),Average Pages Swap Out (60s Rate),InnoDB Buffer Pool Cache Hit Rate,Current QPS (Queries Per Second),InnoDB Buffer Pool (Data Pages),InnoDB Buffer Pool (Free Pages),InnoDB Buffer Pool (Misc Pages),InnoDB Dirty Buffer Pages,Max CPU Usage (100 - Idle),MySQL Aborted Clients (60s Rate),MySQL Aborted Connections (60s Rate),MySQL Threads Running (Max Over Time),MySQL Client Threads Connected (Max Over Time),MySQL Threads Running (Max Over Time).1,MySQL Threads Connected (Max Over Time),MySQL Max Used Connections,MySQL Max Connections,MySQL File Openings (60s Rate),MySQL Handlers (Delete),MySQL Handlers (Discover),MySQL Handlers (External Lock),MySQL Handlers (MRR Init),MySQL Handlers (Read First Record),MySQL Handlers (Key Read),MySQL Handlers (Read Last Record),MySQL Handlers (Read Next Record),MySQL Handlers (Read Previous Record),MySQL Handlers (Read Random),MySQL Handlers (Read Next Record).1,MySQL Handlers (Update),MySQL Handlers (Write),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),InnoDB Buffer Pool Total Pages,InnoDB Log Buffer Size,MySQL Internal Memory (Key Buffer Size),MySQL Network Traffic (Bytes Received),MySQL Network Traffic (Bytes Sent),MySQL Open Files (InnoDB),MySQL Open Files,MySQL Open Files Limit,MySQL Open Tables,MySQL Table Open Cache Size,MySQL Full Join Selects (60s Rate),MySQL Full Range Join Selects (60s Rate),MySQL Range Selects (60s Rate),MySQL Range Selects (60s Rate).1,MySQL Full Table Scans (60s Rate),MySQL Slow Queries (60s Rate),MySQL Sort Merge Passes (60s Rate),MySQL Sort Range (60s Rate),MySQL Rows Sorted (60s Rate),MySQL Sort Scans (60s Rate),MySQL Table Definition Cache,MySQL Table Definition Cache Size,MySQL Opened Table Definitions (60s Rate),MySQL Table Locks Immediate (60s Rate),MySQL Table Locks Waited (60s Rate),MySQL Opened Tables (60s Rate),MySQL Table Open Cache Hits (60s Rate),MySQL Table Open Cache Efficiency,MySQL Open Cache Misses (60s Rate),MySQL Open Cache Overflows (60s Rate),MySQL Temporary Disk Tables Created (60s Rate),MySQL Temporary Files Created (60s Rate),MySQL Temporary Tables Created (60s Rate),MySQL Threads Cached,MySQL Thread Cache Size,MySQL Threads Created (60s Rate),MySQL Transaction Handlers (Commit),MySQL Transaction Handlers (Prepare),MySQL Transaction Handlers (Rollback),MySQL Transaction Handlers (Savepoint),MySQL Transaction Handlers (Savepoint Rollback),Top 5 Command Usage (Begin Transaction),Top 5 Command Usage (Commit),Top 5 Command Usage (Select),Top 5 Command Usage (Show Slave Status),Top 5 Command Usage (Statement Execute),Top 5 Command Usage (Statement Prepare),MySQL Uptime,Root Volume Disk Usage Percentage,Root Volume Disk Usage,Top 5 Command Usage (Admin Commands),Top 5 Command Usage (Set Option),Top 5 Command Usage (Show Variables),Top 5 Command Usage (Show Replica Status),Top 5 Command Usage (Show Status),Top 5 Command Usage (Statement Close),Top 5 Command Usage (Delete),Top 5 Command Usage (Insert),Top 5 Command Usage (Update),label,workload_label,mem_size,num_cpu,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache
1,343.71,53.03749999997672,27.897500000000942,0,0,0.5950000000000273,0.1224999999998885,4.889999999999418,11.835000000000036,27.397082101500843,3451125760,12596690944,0,0,654.48,14154396.38,2.3687742396e-05,3329.56,14154396.38,,0,5598.84,0,0.12,0,99.99599999998463,0,0,88.32974291547512,5385.46,130669,0,403,0,68.0,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,0.4,0,0.0,0.0,0,0.0,0,0,226.32,0.0,113.4,0.0,0.0,139299.48,0.0,2140880896,16777216,8388608,137699.04,13471973.16,79,2,16384,413,4000,0,0,1345.94,0,0.58,0,0,0,67295.86,672.96,112,2000,0,0.2,0,0.2,4711.18,0.9999575495926885,0.2,0.0,0,0,336.86,0,9,0,5047.64,0.0,0.0,0,0,336.48,336.48,4711.46,,5047.66,,98,21.22157282942185,22783815680,0.1,0.1,,,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
2,384.56,51.71250000008149,27.19999999999891,0,0,0.6499999999999772,0.1475000000000079,5.275000000000546,13.359999999996036,36.605813165530975,4611121152,12596690944,0,0,303.40000000000003,16021921.94,2.36621371678e-05,3015.26,16021921.94,,0,5767.46,0,1.18,0,99.99400000000604,0,0,88.80406380740588,6067.04,196073,0,535,0,68.0,0,0,6.0,5,6,5,5,151,0,0.0,0,58.72,0,0.0,0.0,0,0.0,0,0,226.2,0.0,78977.06,0.0,0.0,156939.30000000002,0.0,3212460032,16777216,8388608,155128.54,15177217.54,79,2,16384,413,4000,0,0,1516.46,0,0.62,0,0,0,75816.92,758.26,112,2000,0,0.2,0,0.2,5307.400000000001,0.9999623181852438,0.2,0.0,0,0,379.54,0,9,0,5686.52,0.0,0.0,0,0,379.12,379.12,5307.72,,5686.52,,94,21.221660577758705,22783909888,0.1,,,0.1,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
3,409.69,52.7050000000163,25.59249999999884,0,0,0.7125000000000341,0.1500000000000056,5.272500000000036,13.792500000002292,45.84862149651229,5775409152,12596690944,0,0,316.2,16857529.04,2.36358276103e-05,3022.76,16857529.04,,0,5450.54,0,1.1,0,100.0,0,0,89.32942365351401,6447.92,261353,0,791,0,64.06000000005588,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,55.28,0,0.0,0.0,0,0.0,0,0,200.64,0.0,74690.7,0.0,0.0,166789.64,0.0,4282007552,16777216,8388608,164858.26,16128986.66,79,2,16384,413,4000,0,0,1611.56,0,0.54,0,0,0,80573.66,805.8000000000001,112,2000,0,0.18,0,0.18,5640.76,0.9999680904246456,0.18,0.0,0,0,403.26,0,9,0,6043.64,0.0,0.0,0,0,402.94,402.92,5641.04,0.1,6043.68,,99,21.222152731474107,22784438272,,0.1,,,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
4,481.66,50.979999999923166,24.575000000000728,0,0,0.807499999999834,0.1300000000000523,5.932499999999891,15.997499999997672,64.20459496827041,8087654400,12596690944,0,0,313.88,20037238.78,2.36058908867e-05,3022.18,20037238.78,,0,5173.04,0,1.08,0,99.9780000000028,0,0,90.16474928586264,7532.2,392245,0,971,0,57.56000000005588,0,0,5.666666666666667,5,6,5,5,151,0,0.0,0,57.24,0,0.0,0.0,0,0.0,0,0,201.0,0.0,75129.76,0.0,0.0,194843.86,0.0,6426542080,16777216,8388608,192584.74,18841453.86,79,2,16384,414,4000,0,0,1882.7,0,0.64,0,0,0,94125.74,941.36,112,2000,0,0.2,0,0.2,6589.38,0.9999696490519882,0.2,0.0,0,0,471.12,0,9,0,7060.0,0.0,0.0,0,0,470.68,470.68,6589.72,0.1,7060.06,,95,21.22210694973313,22784389120,,,0.1,,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
5,563.88,50.76999999996042,22.92750000000342,0,0,0.8674999999998931,0.1199999999999761,6.467499999999745,17.392499999999927,82.71212773512339,10418991104,12596690944,0,0,312.0,22953228.06,2.35732625797e-05,3020.42,22953228.06,,0,5090.36,0,1.32,0,100.0020000000368,0,0,90.96586785956708,8921.300000000001,522625,0,1663,0,62.34000000031665,0,0,6.0,5,6,5,5,151,0,0.0,0,56.44,0,0.0,0.0,0,0.0,0,0,251.52,0.0,76555.32,0.0,0.0,230798.18,0.0,8562688000,16777216,8388608,228087.94,22318023.32,79,2,16384,413,4000,0,0,2229.96,0,0.62,0,0,0,111499.02,1115.0,112,2000,0,0.2,0,0.2,7804.82,0.9999743754660464,0.2,0.0,0,0,557.92,0,9,0,8362.32,0.0,0.0,0,0,557.5,557.5,7805.14,,8362.32,,98,21.222511355111685,22784823296,0.1,0.1,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
6,607.3,50.24749999993946,22.71000000000095,0,0,0.9200000000000728,0.1399999999999295,6.577499999999873,17.780000000001564,91.79719864055116,11563409408,12596690944,0,0,298.40000000000003,23642731.64,2.35354751062e-05,2887.48,23642731.64,,0,4935.28,0,1.26,0,100.00199999997858,0,0,91.1400209390482,9313.64,587766,0,2058,0,58.080000000074506,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,6497.281041666667,0,0.0,3217.950826,0,89929.75247666666,0,0,23004.317572,0.0,22550.259276,0.0,0.0,240948.1,0.0,9629958144,16777216,8388608,238113.26,23298856.16,79,2,16384,415,4000,0,0,2328.14,0,0.58,0,0,0,116397.82,1164.08,112,2000,0,0.2,0,0.2,8148.28,0.9999754555450832,0.2,0.0,0,0,582.42,0,9,0,8730.32,0.0,0.0,0,0,582.02,582.02,8148.56,,8730.3,,102,21.222862348459103,22785200128,0.1,0.1,0.1,0.1,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
7,342.64,51.75249999994412,28.06750000000102,0,0,0.6150000000001228,0.1875000000000852,5.110000000001037,12.230000000000476,18.10117436505078,2280148992,12596690944,0,0,314.06,14177591.84,2.35002438766e-05,2862.38,14177591.84,,0,6138.06,0,0.06,0,99.98800000001212,0,0,87.79689400426595,5436.9400000000005,65281,0,255,0,59.18000000016763,0,0,6.0,5,6,5,5,151,0,0.0,0,8775.600276,0,0.0,4357.154129333334,0,122541.61019933334,0,0,31242.408182,0.0,30705.91893333333,0.0,0.0,140636.08000000002,0.0,1069563904,16777216,8388608,139020.98,13601179.86,79,2,16384,413,4000,0,0,1358.82,0,0.62,0,0,0,67941.3,679.42,112,2000,0,0.2,0,0.2,4756.04,0.999957949977293,0.2,0.0,0,0,340.14,0,9,0,5095.78,0.0,0.0,0,0,339.72,339.72,4756.36,0.1,5095.76,,102,21.222255740391283,22784548864,0.1,,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000
8,345.98,50.91500000009547,28.985000000000586,0,0,0.6000000000000227,0.1475000000000363,5.180000000000291,12.215000000001057,18.1694914813336,2288754688,12596690944,0,0,288.56,14661537.38,2.34759093203e-05,2959.26,14661537.38,,0,6334.26,0,0.18,0,100.0099999999511,0,0,87.55909155040625,5605.96,65312,0,224,0,69.56000000005588,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,10351.134871333335,0,0.0,5144.908631333334,0,145010.659036,0,0,36943.95525766668,0.0,36338.48632166667,0.0,0.0,145027.46,0.0,1070071808,16777216,8388608,143337.12,14025774.32,79,2,16384,414,4000,0,0,1401.24,0,0.62,0,0,0,70058.0,700.58,112,2000,0,0.22,0,0.22,4904.08,0.9999551414065208,0.22,0.0,0,0,350.68,0,9,0,5254.36,0.0,0.0,0,0,350.28000000000003,350.28000000000003,4904.36,,5254.36,,95,21.222419791629743,22784724992,,,0.12,,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
9,344.5,50.81750000012107,29.024999999996,0,0,0.5825000000000387,0.1525000000000034,5.122500000000856,12.044999999997344,18.109303484075383,2281172992,12596690944,0,0,289.56,14625306.96,2.34517958079e-05,3052.5,14625306.96,,0,6319.32,0,1.24,0,100.00199999997858,0,0,87.56604094502944,5565.0,65315,0,221,0,66.39999999990687,0,0,6.0,5,6,5,5,151,0,0.0,0,11373.72,0,0.0,5686.56,0,161277.30127199998,0,0,41040.02556066667,0.0,40399.03551,0.0,0.0,143955.28,0.0,1070120960,16777216,8388608,142291.72,13921576.5,79,2,16384,413,4000,0,0,1390.94,0,0.6,0,0,0,69538.2,695.44,112,2000,0,0.2,0,0.2,4868.18,0.9999589185725026,0.2,0.0,0,0,348.12,0,9,0,5215.88,0.0,0.0,0,0,347.72,347.72,4868.46,0.1,5215.88,,97,21.222118395168376,22784401408,0.1,0.1,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000
10,352.1,50.98250000010012,28.92000000000189,0,0,0.6099999999998431,0.1049999999999329,5.197499999999764,12.19500000000244,18.100068804863422,2280009728,12596690944,0,0,284.72,14880432.42,2.34281973413e-05,2957.6,14880432.42,,0,6446.860000000001,0,0.16,0,99.98399999999674,0,0,87.79921004392035,5667.06,65290,0,246,0,63.6999999997206,0,0,6.0,5,6,5,5,151,0,0.0,0,12229.64,0,0.0,6114.58,0,174689.68,0,0,44334.92,0.0,43785.24,0.0,0.0,146606.86000000002,0.0,1069711360,16777216,8388608,144902.44,14177043.32,79,2,16384,413,4000,0,0,1416.52,0,0.58,0,0,0,70822.08,708.24,112,2000,0,0.18,0,0.18,4957.4800000000005,0.9999636925485006,0.18,0.0,0,0,354.52,0,9,0,5311.58,0.0,0.0,0,0,354.1,354.1,4957.8,0.1,5311.58,,97,21.222187067779828,22784475136,,,,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000
11,338.3,51.9550000000163,28.472499999998032,0,0,0.5649999999997704,0.1475000000000079,5.049999999999272,11.68500000000131,18.23845892713838,2297442304,12596690944,0,0,283.08,14057642.14,2.34044349583e-05,2957.42,14057642.14,,0,6080.74,0,0.08,0,99.99599999998463,0,0,87.55521836670354,5384.82,65321,0,215,0,62.29999999981373,0,0,6.0,5,6,5,5,151,0,0.0,0,12516.94,0,0.0,6258.3,0,178803.98,0,0,45350.14,0.0,44802.86,0.0,0.0,139286.0,0.0,1070219264,16777216,8388608,137686.3,13469671.1,79,2,16384,413,4000,0,0,1345.84,0,0.58,0,0,0,67289.0,672.92,112,2000,0,0.18,0,0.18,4710.4800000000005,0.9999617887939268,0.18,0.0,0,0,336.86,0,9,0,5046.92,0.0,0.0,0,0,336.46,336.46,4710.78,0.1,5046.92,,98,21.22229770698717,22784593920,0.1,0.1,,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
12,344.88,50.64000000007218,29.360000000000586,0,0,0.6174999999998931,0.1499999999999488,5.0599999999999445,11.93750000000091,18.13252024800967,2284097536,12596690944,0,0,280.56,14836559.64,2.33816665265e-05,3046.58,14836559.64,,0,6419.66,0,0.04,0,99.98800000001212,0,0,87.56994366363946,5632.84,65303,0,233,0,68.85999999986961,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,13334.8,0,0.0,6667.2,0,190480.34,0,0,48298.98,0.0,47720.6,0.0,0.0,145711.54,0.0,1069924352,16777216,8388608,144025.86000000002,14091539.22,79,2,16384,413,4000,0,0,1407.86,0,0.6,0,0,0,70394.0,703.94,112,2000,0,0.2,0,0.2,4927.52,0.999959413278352,0.2,0.0,0,0,352.38,0,9,0,5279.46,0.0,0.0,0,0,351.96,351.96,4927.82,0.1,5279.4800000000005,,98,21.223522368558044,22785908736,0.1,,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,3,1,ON,1,1024,1,25,100,48MB,4000
13,347.19,50.36000000004424,29.26749999999629,0,0,0.5924999999999159,0.1324999999999363,5.112500000000182,12.220000000001164,18.28427464196109,2303213568,12596690944,0,0,775.14,14682148.62,2.33579620046e-05,3961.7,14682148.62,,0,6372.4400000000005,0,5.36,0,100.00799999997253,0,0,87.58252790168532,5597.0,65295,0,241,0,68.94000000040978,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,13788.912665240086,0,0.0,6894.286342819431,0,196974.98150111,0,0,49986.740795552265,0.0,49368.697878127314,0.0,0.0,144781.1,0.0,1069793280,16777216,8388608,143111.06,14002189.8,79,2,16384,414,4000,0,0,1398.86,0,0.66,0,0,0,69942.32,699.44,112,2000,0,0.22,0,0.22,4896.14,0.9999550686632518,0.22,0.0,0,0,350.16,0,9,0,5245.86,0.0,0.0,0,0,349.72,349.72,4896.46,,5245.86,,101,21.222488464241195,22784798720,,,0.12,,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000
14,347.58,50.940000000060536,28.9325000000008,0,0,0.5824999999999818,0.1699999999999306,4.962499999999636,11.9975000000004,18.17983172073289,2290057216,12596690944,0,0,285.36,14532263.16,2.33340188749e-05,2869.56,14532263.16,,0,6268.58,0,1.18,0,99.99400000000604,0,0,87.76186631811782,5508.62,63962,0,1574,0,63.63999999966472,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,12821.12,0,0.0,6410.32,0,183135.04,0,0,46468.94,0.0,45896.7,0.0,0.0,142489.08000000002,0.0,1047953408,16777216,8388608,140844.1,13779602.8,79,2,16384,294,4000,0,0,1376.74,0,0.54,0,0,0,68838.02,688.4,69,2000,0,0.18,0,0.18,4818.82,0.9999626478522514,0.18,0.0,0,0,344.56,0,9,0,5163.0,0.0,0.0,0,0,344.2,344.2,4819.1,0.1,5163.02,,310,21.22344606565644,22785826816,0.1,0.1,,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
15,348.03,51.964999999851,28.479999999999563,0,0,0.5724999999999909,0.1425000000000125,4.802500000000691,11.73249999999916,18.214104086540644,2294374400,12596690944,0,0,284.16,14432461.3,2.33100043935e-05,3054.98,14432461.3,,0,6219.9400000000005,0,1.06,0,100.01199999998788,0,0,87.80698160351504,5501.3,63629,0,1907,0,69.10000000009313,0,0,6.0,5,6,5,5,151,0,0.0,0,13050.62,0,0.0,6525.18,0,186425.36,0,0,47275.16,0.0,46710.62,0.0,0.0,142300.26,0.0,1042497536,16777216,8388608,140662.18,13762045.38,79,2,16384,295,4000,0,0,1374.94,0,0.64,0,0,0,68738.8,687.44,69,2000,0,0.22,0,0.22,4812.38,0.9999542866641732,0.22,0.0,0,0,344.14,0,9,0,5156.06,0.0,0.0,0,0,343.72,343.72,4812.68,,5156.1,,531,21.22335068702942,22785724416,,,0.12,,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000
16,345.84,51.00749999994878,28.81249999999636,0,0,0.5600000000000023,0.1550000000000579,5.014999999999418,11.817500000004657,18.12611450221827,2283290624,12596690944,0,0,280.16,14673808.04,2.32864565305e-05,2864.7000000000003,14673808.04,,0,6344.32,0,2.5,0,99.9979999999632,0,0,87.55744661262716,5546.36,65313,0,223,0,68.20000000018626,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,13325.88,0,0.0,6662.76,0,190362.26,0,0,48294.44,0.0,47705.6,0.0,0.0,143469.9,0.0,1070088192,16777216,8388608,141815.88,13874240.84,79,2,16384,413,4000,0,0,1386.28,0,0.6,0,0,0,69304.62,693.12,112,2000,0,0.2,0,0.2,4851.900000000001,0.9999587807341151,0.2,0.0,0,0,346.96,0,9,0,5198.400000000001,0.0,0.0,0,0,346.54,346.54,4852.2,0.1,5198.42,,95,21.222683036640312,22785007616,0.1,0.1,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
17,349.67,50.57000000006519,29.237499999997457,0,0,0.5524999999999523,0.1974999999999909,4.7824999999998,11.69250000000102,18.16858102000284,2288640000,12596690944,0,0,283.64,14828173.3,2.32627469338e-05,2958.86,14828173.3,,0,6417.6,0,1.16,0,99.99600000004284,0,0,87.75151146307127,5583.9400000000005,65530,0,6,0,65.77999999979511,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9812.18,0,0.0,4905.86,0,140156.54,0,0,35641.06,0.0,35163.72,0.0,0.0,144445.22,0.0,1073643520,16777216,8388608,142780.38,13969620.38,79,2,16384,292,4000,0,0,1395.66,0,0.66,0,0,0,69776.48,697.8000000000001,69,2000,0,0.22,0,0.22,4884.8,0.9999549643604324,0.22,0.0,0,0,349.32,0,9,0,5233.64,0.0,0.0,0,0,348.88,348.88,4885.12,,5233.68,,316,21.223392653625307,22785769472,,,0.12,,,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000
18,345.67,51.195000000006985,28.60750000000008,0,0,0.5675000000000523,0.2025000000000147,4.885000000001128,11.715000000002874,18.194919365642576,2291957760,12596690944,0,0,292.08,14420850.6,2.32395954402e-05,3049.7000000000003,14420850.6,,0,6239.7,0,0.3,0,100.00399999995716,0,0,87.54863937700651,5494.96,65329,0,207,0,56.75999999977648,0,0,6.0,5,6,5,5,151,0,0.0,0,9713.96,0,0.0,4856.78,0,138765.02,0,0,35265.12,0.0,34805.3,0.0,0.0,142140.4,0.0,1070350336,16777216,8388608,140497.66,13746644.88,79,2,16384,413,4000,0,0,1373.38,0,0.58,0,0,0,68668.3,686.7,112,2000,0,0.2,0,0.2,4806.88,0.9999583947011492,0.2,0.0,0,0,343.74,0,9,0,5150.22,0.0,0.0,0,0,343.36,343.36,4807.16,0.1,5150.24,,94,21.22289286961975,22785232896,0.1,0.1,0.1,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000
19,345.94,50.85250000009546,29.277499999998327,0,0,0.57000000000005,0.129999999999967,4.812500000000454,11.8125,18.19348864069424,2291777536,12596690944,0,0,292.34000000000003,14804419.14,2.32157949967e-05,2960.92,14804419.14,,0,6386.4400000000005,0,0.32,0,100.01199999998788,0,0,87.76632929012897,5651.66,63949,0,1587,0,64.04000000003724,0,0,5.833333333333333,5,6,5,5,151,0,0.0,0,9929.58,0,0.0,4964.6,0,141839.0,0,0,36014.200000000004,0.0,35559.4,0.0,0.0,146203.92,0.0,1047740416,16777216,8388608,144501.68,14139371.76,79,2,16384,293,4000,0,0,1412.66,0,0.52,0,0,0,70632.0,706.32,69,2000,0,0.18,0,0.18,4944.06,0.9999635940002912,0.18,0.0,0,0,353.5,0,9,0,5297.2,0.0,0.0,0,0,353.16,353.16,4944.3,0.1,5297.2,,314,21.22305692085821,22785409024,0.1,0.1,,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000
20,345.11,51.14249999995809,28.60250000000088,0,0,0.5725000000001614,0.1299999999999954,5.0174999999994725,12.074999999998909,18.14422617940511,2285572096,12596690944,0,0,281.76,14816583.66,2.31925550615e-05,3048.34,14816583.66,,0,6394.6,0,1.12,0,100.0020000000368,0,0,87.56732548433908,5613.74,65317,0,219,0,74.47999999998137,0,0,6.0,5,6,5,5,151,0,0.0,0,9873.14,0,0.0,4936.32,0,141027.6,0,0,35860.66,0.0,35383.76,0.0,0.0,145218.12,0.0,1070153728,16777216,8388608,143530.74,14044130.38,79,2,16384,413,4000,0,0,1403.16,0,0.56,0,0,0,70152.56,701.54,112,2000,0,0.2,0,0.2,4910.86,0.9999592755942708,0.2,0.0,0,0,351.16,0,9,0,5261.62,0.0,0.0,0,0,350.76,350.76,4911.12,0.1,5261.62,,93,21.22347658681708,22785859584,0.1,0.1,,0.1,0.1,,,,,"[0.60203214 0.02569267 0.03088492 0.02569267 0.02569267 0.02569267
 0.02569267 0.02569267 0.02569267 0.02569267 0.02569267 0.13584889]",64-1000000-4-oltp_read_only-0.2,12,8,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000
